Note,English,Reference,Present-base,Prefix,Suffix,I,we,we two,you ,you two,you all,he/she/it,those two,they,it,the act itself,to be
,brought in object,,,,,daa-nii-'an',daa-nit-'an',,daa-nin-'an',,daa-nu'-'an',day-nin-'an',,xee-day-nin-'an',,,
,buried,,,,,tee-ghii-sra,tee-ghit-sra,,tee-ghin-sra,,tee-ghut-sra,tee-ghin-sra,,xee-tee-ghin-sra,ghvt-sra,,ter'sh-ghin-sra
,burned (a thing),,,,,nee-sii-lvt,nee-sit-lvt,,nee-sin-lvt,,nee-su'-lvt,nes-lvt,,xwii-nes-lvt,,,
,was burned,,,,,shvs-lvt,,,,,,,,,ghus-lvt,,
,buttoned,,,,,waa-silh-k'et,waa-sitlh-k'wvt,,waa-sintlh-k'wvt,,waa-sutlh-k'wvt,wastlh-k'wvt,,xee-wastlh-k'wvt,,,
,called (a thing),,,,,'vm-nii-shi','aa-wit-shi',,'vm-nin-shi',,'vm-nu'-shi',yaa-win-shi',,xee-yaa-win-shi',,,
,came around the bend in the river,,,,,wee-naa-sii-xe,wee-naa-sit-xe,,wee-naa-sin-xe,,wee-naa-su'-xee,wee-nas-xe,,xee-wee-nas-xe,,,
,"came (home, to work, to town, etc.)",,,,,nee-ya,naa-ghitlh-xat,naa-sit-delh,naa~-ya,naa-sut-delh,naa-sutlh-xat,nas-ya,nas-delh,nutlh-xat,,,
,came back,,,,,nan-nvsh-ch'a,nan-naa-ghitlh-xat,nan-nit-delh,nan-nii~-ch'a,nan-nu'-delh,nan-nu'-ch'a,nan-ch'a,,xwii-nantlh-xat,,,
,came back in,"""came back""",,"""daa,"" except in they, we, you all (plurals?)",,daa-nan-nvsh-ch'a,daa-nan-nitlh-xat,,daa-nan-nii~-ch'a,,daa-nutlh-xat,daa-nan-ch'a,,xwii-daa-nan-ch'a,,,
,"came down (from a mountain, ledge, etc.)","similar to ""went""",,tr'ee,,tr'ee-naa-see-ya,tr'ee-naa-ghitlh-xat,,tr'ee-naa-saa~-ya,,tr'ee-naa-nu'-ya,tr'ee-naa~-ya,,tr'ee-nantlh-xat,,,
,came in,,,,,daa-see-ya,daa-saa-ghitlh-xat,daa-nit-ya,daa-naa~-ya,,daa-nu'-ya,daa-noy-ya,,xwii-daa-noy-ya,,,
,came in crying,,,,,daa-nii-sra,daa-nit-sra,,daa-nint-sra,,daa-nut-sra,daa-nii~-sra,,xwii-daa-nii~-sra,,,
,came out there,,,,,tr'ee-nee-ya,tr'ee-nitlh-xat,tr'ee-nit-delh,tr'ee-naa~-ya,,tr'ree-nutlh-xat,tr'ee-naa~-ya,,tr'intlh-xat,,,
,canned,put,,ch'aa min' (jar into),,,,,,,,,,,,,
,carried a baby in the arms,,,,,naa-silh-'a,naa-sitlh-'a,,naa-sintlh-'a,,naa-sutlh-'a,naystlh-'a,,xee-naystlh-'a,,,
,carried from the hands,carried a baby in the arms,,,min'sh,,,,,,,,,,,,
,"carried (in the hands, holding a recepticle)",,,,,na'-sii-xa,naa-saa-ghit-xa,,naa-sii~-xa,,naa-su'-xa,nays-xa,,xee-nays-xa,,,
,casted a line,,,,,taa-naylh-k'vs,taa-nitlh-k'vs,,taa-nintlh-k'vs,,taa-nutlh-k'vs,tay-nintlh-k'vs,,xee-tay-nintlh-k'vs,,,
,caught it,,,,,ghilh-chut,saa-ghitlh-chut,,ghinlh-chut,,ghutlh-chut,yvstlh-chut / ghinlh-chut,,xee-ghii~lh-chut,,,
,caught up with,,,,,mee-see-ya,mee-saa-ghitlh-xat,,nee-san-ya,,mee-sutlh-xat,des-ya,,,,,
,chased,,,k'wee,,tee-svstlh-da,tee-saa-ghitlh-da,,tee-sintlh-da,,tee-sutlh-da,testlh-da,,tee-ghastlh-da,,,
,chewed,,,,,ghii-'alh,ghit-'alh,,ghin-'alh,,ghu'-alh,yvs-'alh,,xee-yvs-'alh,,,
,chewed something crunchy or crisp,,,,,silh-k'vm's,saa-ghitlh-k'vm's,,sintlh-k'vm's,,sutlh-k'vm's,yvstlh-k'vm's,,xee-yvstlh-k'vm's,,,
